"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"ARM00087593","LA PLATA, AR","1973-01-01",,,"84",,"70"
"ARM00087593","LA PLATA, AR","1973-01-02",,,"88",,
"ARM00087593","LA PLATA, AR","1973-01-03",,,"74",,"63"
"ARM00087593","LA PLATA, AR","1973-01-04",,,"78",,"68"
"ARM00087593","LA PLATA, AR","1973-01-05",,,"81",,"75"
"ARM00087593","LA PLATA, AR","1973-01-06",,,"67",,"48"
"ARM00087593","LA PLATA, AR","1973-01-07",,,"76",,"68"
"ARM00087593","LA PLATA, AR","1973-01-08",,,"70",,"48"
"ARM00087593","LA PLATA, AR","1973-01-09",,,"78",,"63"
"ARM00087593","LA PLATA, AR","1973-01-10",,,"84",,"68"
"ARM00087593","LA PLATA, AR","1973-01-11",,,"84",,
"ARM00087593","LA PLATA, AR","1973-01-12",,,"78",,"70"
"ARM00087593","LA PLATA, AR","1973-01-13",,,"63",,"57"
"ARM00087593","LA PLATA, AR","1973-01-14",,,"63",,
"ARM00087593","LA PLATA, AR","1973-01-15",,,"68",,"46"
"ARM00087593","LA PLATA, AR","1973-01-16",,,"75",,"63"
"ARM00087593","LA PLATA, AR","1973-01-18",,,"74",,"70"
"ARM00087593","LA PLATA, AR","1973-01-20",,,"73",,"59"
"ARM00087593","LA PLATA, AR","1973-01-21",,,"74",,"64"
"ARM00087593","LA PLATA, AR","1973-01-22",,,"79",,"63"
"ARM00087593","LA PLATA, AR","1973-01-23",,,"69",,"63"
"ARM00087593","LA PLATA, AR","1973-01-24",,,"67",,"46"
"ARM00087593","LA PLATA, AR","1973-01-25",,,"64",,
"ARM00087593","LA PLATA, AR","1973-01-26",,,"72",,
"ARM00087593","LA PLATA, AR","1973-01-27",,,"79",,"66"
"ARM00087593","LA PLATA, AR","1973-01-28",,,"72",,
"ARM00087593","LA PLATA, AR","1973-01-29",,,"77",,
"ARM00087593","LA PLATA, AR","1973-01-30",,,"78",,
"ARM00087593","LA PLATA, AR","1973-01-31",,,"74",,
"ARM00087593","LA PLATA, AR","1973-02-01",,,"78",,"68"
"ARM00087593","LA PLATA, AR","1973-02-02",,,"82",,"75"
"ARM00087593","LA PLATA, AR","1973-02-03",,,"71",,
"ARM00087593","LA PLATA, AR","1973-02-04",,,"64",,"52"
"ARM00087593","LA PLATA, AR","1973-02-05",,,"68",,"50"
"ARM00087593","LA PLATA, AR","1973-02-06",,,"73",,"64"
"ARM00087593","LA PLATA, AR","1973-02-07",,,"80",,"68"
"ARM00087593","LA PLATA, AR","1973-02-08",,,"82",,
"ARM00087593","LA PLATA, AR","1973-02-09",,,"71",,"64"
"ARM00087593","LA PLATA, AR","1973-02-10",,,"74",,"64"
"ARM00087593","LA PLATA, AR","1973-02-11",,,"77",,"66"
"ARM00087593","LA PLATA, AR","1973-02-12",,,"78",,"64"
"ARM00087593","LA PLATA, AR","1973-02-13",,,"66",,"63"
"ARM00087593","LA PLATA, AR","1973-02-14",,,"68",,
"ARM00087593","LA PLATA, AR","1973-02-15",,,"65",,
"ARM00087593","LA PLATA, AR","1973-02-16",,,"71",,
"ARM00087593","LA PLATA, AR","1973-02-17",,,"77",,"61"
"ARM00087593","LA PLATA, AR","1973-02-18",,,"80",,
"ARM00087593","LA PLATA, AR","1973-02-19",,,"75",,
"ARM00087593","LA PLATA, AR","1973-02-20",,,"77",,
"ARM00087593","LA PLATA, AR","1973-02-21",,,"75",,
"ARM00087593","LA PLATA, AR","1973-02-22",,,"77",,
"ARM00087593","LA PLATA, AR","1973-02-23",,,"73",,"72"
"ARM00087593","LA PLATA, AR","1973-02-25",,,"70",,"50"
"ARM00087593","LA PLATA, AR","1973-02-26",,,"71",,
"ARM00087593","LA PLATA, AR","1973-02-27",,,"71",,"63"
"ARM00087593","LA PLATA, AR","1973-02-28",,,"80",,
"ARM00087593","LA PLATA, AR","1973-03-03",,,"79",,
"ARM00087593","LA PLATA, AR","1973-03-04",,,"77",,
"ARM00087593","LA PLATA, AR","1973-03-06",,,"78",,
"ARM00087593","LA PLATA, AR","1973-03-07",,,"72",,
"ARM00087593","LA PLATA, AR","1973-03-08",,,"68",,
"ARM00087593","LA PLATA, AR","1973-03-10",,,"69",,"54"
"ARM00087593","LA PLATA, AR","1973-03-11",,,"73",,"57"
"ARM00087593","LA PLATA, AR","1973-03-12",,,"73",,"66"
"ARM00087593","LA PLATA, AR","1973-03-13",,,"76",,
"ARM00087593","LA PLATA, AR","1973-03-14",,,"67",,
"ARM00087593","LA PLATA, AR","1973-03-15",,,"73",,"59"
"ARM00087593","LA PLATA, AR","1973-03-16",,,"74",,
"ARM00087593","LA PLATA, AR","1973-03-18",,,"74",,
"ARM00087593","LA PLATA, AR","1973-03-19",,,"71",,
"ARM00087593","LA PLATA, AR","1973-03-20",,,"71",,"61"
"ARM00087593","LA PLATA, AR","1973-03-21",,,"71",,"57"
"ARM00087593","LA PLATA, AR","1973-03-22",,,"79",,"64"
"ARM00087593","LA PLATA, AR","1973-03-23",,,"80",,
