"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-01",,,"86","67"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-02",,,"88","69"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-03",,,"86","67"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-04",,,"77","65"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-05",,,"68","62"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-06",,,"78","62"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-07",,,"85","60"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-08",,,"87","65"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-09",,,"87","70"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-10",,,"84","70"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-11",,,"89","72"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-12",,,"92","76"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-13",,,"89","73"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-14",,,"76","60"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-15",,,"82","56"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-16",,,"82","66"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-17",,,"79","66"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-18",,,"81","69"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-19",,,"84","69"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-20",,,"87","72"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-21",,,"80","62"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-22",,,"88","62"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-23",,,"96","71"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-24",,,"95","76"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-25",,,"89","69"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-26",,,"85","69"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-27",,,"86","65"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-28",,,"96","70"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-29",,,"86","67"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-30",,,"87","70"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-01-31",,,"90","71"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-01",,,"80","60"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-02",,,"79","58"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-03",,,"82","64"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-04",,,"82","65"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-05",,,"78","58"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-06",,,"76","59"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-07",,,"81","64"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-08",,,"80","69"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-09",,,"73","65"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-10",,,"86","65"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-11",,,"91","67"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-12",,,"85","67"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-13",,,"87","69"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-14",,,"89","71"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-15",,,"82","66"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-16",,,"77","59"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-17",,,"77","64"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-18",,,"77","67"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-19",,,"82","68"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-20",,,"77","67"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-21",,,"82","65"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-22",,,"89","62"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-23",,,"80","64"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-24",,,"76","53"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-25",,,"91","65"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-26",,,"96","74"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-27",,,"95","77"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-02-28",,,"88","67"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-01",,,"78","53"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-02",,,"78","64"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-03",,,"85","68"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-04",,,"81","71"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-05",,,"77","60"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-06",,,"84","65"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-07",,,"90","73"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-08",,,"84","74"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-09",,,"80","71"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-10",,,"83","68"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-11",,,"80","68"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-12",,,"81","62"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-13",,,"82","72"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-14",,,"90","72"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-15",,,"86","66"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-16",,,"84","67"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-17",,,"80","69"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-18",,,"73","65"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-19",,,"72","65"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-20",,,"72","60"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-21",,,"77","59"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-22",,,"81","67"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-23",,,"80","63"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-24",,,"78","65"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-25",,,"74","60"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-26",,,"71","58"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-27",,,"70","59"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-28",,,"73","61"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-29",,,"74","70"
"AR000875850","BUENOS AIRES OBSERV, AR","2002-03-30",,,"73","60"
